Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,12:37:40 PM,891,20.811,37.00387192,30.23849678,30.07095146,30.89440918,34.10926056,29.37427902,33.01603699,29.74715424
4/24/2018,12:37:41 PM,162,21.082,37.01517868,30.14278603,30.05897522,30.9063015,34.0281868,29.3622303,32.98098373,29.66305923
4/24/2018,12:37:41 PM,432,21.352,36.99256516,30.15475464,30.09490204,30.89440918,34.06293869,29.32607841,33.02771759,29.73514366
4/24/2018,12:37:41 PM,702,21.622,37.083004,30.25045395,30.14278603,30.9776268,34.09768295,29.37427902,33.03939819,29.79518127
4/24/2018,12:37:41 PM,972,21.892,37.01517868,30.17868614,30.11884689,30.94196892,34.01660156,29.33813095,33.00435257,29.69910812
4/24/2018,12:37:42 PM,243,22.163,37.04909515,30.19065094,30.13081741,30.91819191,34.09768295,29.33813095,33.02771759,29.74715424
4/24/2018,12:37:42 PM,513,22.433,37.15078735,30.3580246,30.23849678,31.04891205,34.21341324,29.50672531,33.08611298,29.81918716
4/24/2018,12:37:43 PM,53,22.973,37.0603981,30.26241112,30.13081741,30.96574211,34.10926056,29.39837074,33.03939819,29.78317642
4/24/2018,12:37:43 PM,324,23.244,37.10560226,30.2982769,30.14278603,30.9776268,34.17870712,29.44654083,33.03939819,29.7591629
4/24/2018,12:37:43 PM,594,23.514,37.07170105,30.27436829,30.14278603,30.94196892,34.12083817,29.38632584,33.01603699,29.77116966
4/24/2018,12:37:44 PM,135,24.055,37.19595718,30.2265377,30.16672134,30.95385742,34.24811172,29.43449974,33.09778976,29.77116966
4/24/2018,12:37:44 PM,405,24.325,37.17337418,30.27436829,30.15475464,30.98951149,34.16713333,29.43449974,33.0510788,29.80718422
4/24/2018,12:37:44 PM,675,24.595,37.17337418,30.36997223,30.23849678,31.03703308,34.23654556,29.47061729,33.15615082,29.879179
4/24/2018,12:37:44 PM,945,24.865,37.19595718,30.31022835,30.21457672,30.96574211,34.20184326,29.44654083,33.13280869,29.8311882
4/24/2018,12:37:45 PM,216,25.136,37.13949203,30.32217979,30.23849678,31.00139427,34.24811172,29.43449974,33.13280869,29.85518646
4/24/2018,12:37:45 PM,486,25.406,37.13949203,30.26241112,30.15475464,30.98951149,34.17870712,29.43449974,33.15615082,29.78317642
4/24/2018,12:37:45 PM,756,25.676,37.16208267,30.32217979,30.20261383,31.03703308,34.24811172,29.47061729,33.15615082,29.81918716
4/24/2018,12:37:46 PM,26,25.946,37.16208267,30.27436829,30.14278603,31.02515411,34.25967407,29.44654083,33.15615082,29.84318733
4/24/2018,12:37:46 PM,567,26.487,37.19595718,30.32217979,30.25045395,31.04891205,34.25967407,29.48265457,33.17948532,29.90316772
4/24/2018,12:37:46 PM,837,26.757,37.13949203,30.31022835,30.16672134,31.01327515,34.17870712,29.41041565,33.09778976,29.80718422
4/24/2018,12:37:47 PM,108,27.028,37.12819672,30.2982769,30.20261383,30.98951149,34.1902771,29.41041565,33.07443619,29.8311882
4/24/2018,12:37:47 PM,378,27.298,37.13949203,30.31022835,30.2265377,31.01327515,34.1902771,29.47061729,33.10946274,29.879179
4/24/2018,12:37:47 PM,648,27.568,37.1169014,30.26241112,30.17868614,31.0607872,34.21341324,29.48265457,33.13280869,29.84318733
4/24/2018,12:37:47 PM,918,27.838,37.13949203,30.2982769,30.21457672,31.01327515,34.23654556,29.49468994,33.08611298,29.80718422
4/24/2018,12:37:48 PM,189,28.109,37.083004,30.2982769,30.20261383,31.03703308,34.1902771,29.48265457,33.12113571,29.89117432
4/24/2018,12:37:48 PM,459,28.379,37.083004,30.31022835,30.16672134,31.00139427,34.16713333,29.49468994,33.0627594,29.80718422
