Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,11:04:15 AM,81,38.919,23.71976662,24.26280594,23.97267151,24.9410553,23.85893631
4/20/2018,11:04:15 AM,351,39.189,23.77039337,24.23760796,24.03580856,24.96609688,23.79569817
4/20/2018,11:04:15 AM,621,39.459,23.87157822,24.28800011,24.12413979,25.00365067,23.97267151
4/20/2018,11:04:16 AM,162,40,23.66911697,24.16197586,23.93477249,24.916008,23.79569817
4/20/2018,11:04:16 AM,432,40.27,23.64378357,24.0484314,23.85893631,24.82829857,23.71976662
4/20/2018,11:04:16 AM,702,40.54,23.69444466,24.08629227,23.94740677,24.89095497,23.74508286
4/20/2018,11:04:16 AM,972,40.81,23.66911697,24.12413979,23.92213631,24.90348244,23.77039337
4/20/2018,11:04:17 AM,513,41.351,23.65645027,24.09890938,23.88422012,24.90348244,23.74508286
4/20/2018,11:04:17 AM,783,41.621,23.73242569,24.13675308,23.96004105,24.95357704,23.75774002
4/20/2018,11:04:18 AM,54,41.892,23.75774002,24.2250061,23.99793053,24.96609688,23.84629059
4/20/2018,11:04:18 AM,324,42.162,23.68178177,24.18719101,23.94740677,24.9410553,23.82099724
4/20/2018,11:04:18 AM,594,42.432,23.69444466,24.16197586,23.92213631,24.9410553,23.78304672
4/20/2018,11:04:19 AM,135,42.973,23.71976662,24.19979858,23.96004105,24.95357704,23.80834961
4/20/2018,11:04:19 AM,405,43.243,23.83364487,24.30059433,24.07367325,25.04118919,23.88422012
4/20/2018,11:04:19 AM,675,43.513,23.87157822,24.31318855,24.07367325,25.09122467,23.92213631
4/20/2018,11:04:19 AM,945,43.783,23.90950012,24.33837128,24.09890938,25.11623192,23.97267151
4/20/2018,11:04:20 AM,216,44.054,23.80834961,24.30059433,24.02318382,25.01616478,23.89686012
4/20/2018,11:04:20 AM,486,44.324,23.82099724,24.30059433,24.06105423,25.04118919,23.90950012
4/20/2018,11:04:21 AM,27,44.865,23.79569817,24.31318855,24.07367325,25.0537014,23.94740677
4/20/2018,11:04:21 AM,297,45.135,23.82099724,24.30059433,24.06105423,25.06620979,23.88422012
4/20/2018,11:04:21 AM,567,45.405,23.84629059,24.38871765,24.11152649,25.07871819,23.97267151
4/20/2018,11:04:21 AM,837,45.675,23.78304672,24.23760796,23.98530197,25.0537014,23.88422012
4/20/2018,11:04:22 AM,108,45.946,23.75774002,24.28800011,24.02318382,24.96609688,23.87157822
4/20/2018,11:04:22 AM,378,46.216,23.79569817,24.28800011,24.01055908,25.04118919,23.87157822
4/20/2018,11:04:22 AM,918,46.756,23.74508286,24.23760796,23.99793053,25.00365067,23.82099724
4/20/2018,11:04:23 AM,189,47.027,23.82099724,24.23760796,24.02318382,25.06620979,23.87157822
4/20/2018,11:04:23 AM,459,47.297,23.82099724,24.32578087,24.0484314,24.97861671,23.83364487
4/20/2018,11:04:23 AM,729,47.567,23.78304672,24.27540398,24.06105423,25.0537014,23.94740677
4/20/2018,11:04:24 AM,270,48.108,23.75774002,24.2250061,23.98530197,25.02867889,23.85893631
4/20/2018,11:04:24 AM,540,48.378,23.78304672,24.19979858,23.97267151,24.97861671,23.87157822
4/20/2018,11:04:24 AM,810,48.648,23.73242569,24.14936447,23.94740677,24.95357704,23.80834961
4/20/2018,11:04:25 AM,351,49.189,23.80834961,24.26280594,23.98530197,25.00365067,23.92213631
4/20/2018,11:04:25 AM,621,49.459,23.83364487,24.27540398,24.01055908,25.01616478,23.89686012
