Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939
Location X,,,,50,166,282
Location Y,,,,128,128,130
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value
5/3/2018,10:05:45 AM,621,68.108,26.85325432,28.19976997,31.35731316
5/3/2018,10:05:45 AM,891,68.378,26.79167175,28.18759918,31.3691597
5/3/2018,10:05:46 AM,162,68.649,26.77935028,28.12672806,31.29806709
5/3/2018,10:05:46 AM,432,68.919,26.81630898,28.16325569,31.35731316
5/3/2018,10:05:46 AM,702,69.189,26.82862473,28.18759918,31.34546661
5/3/2018,10:05:47 AM,243,69.73,26.97631836,28.30924606,31.52304459
5/3/2018,10:05:47 AM,513,70,27.08696365,28.38217354,31.58217812
5/3/2018,10:05:47 AM,783,70.27,27.03780174,28.38217354,31.57035446
5/3/2018,10:05:48 AM,54,70.541,26.92710876,28.28492737,31.44020844
5/3/2018,10:05:48 AM,324,70.811,26.92710876,28.27276611,31.49938393
5/3/2018,10:05:48 AM,594,71.081,26.97631836,28.37002182,31.54670143
5/3/2018,10:05:48 AM,864,71.351,27.0132122,28.41861916,31.64128304
5/3/2018,10:05:49 AM,135,71.622,27.08696365,28.39432335,31.59400177
5/3/2018,10:05:49 AM,675,72.162,27.0500946,28.45505524,31.6294651
5/3/2018,10:05:49 AM,945,72.432,27.08696365,28.43076515,31.65310097
5/3/2018,10:05:50 AM,216,72.703,27.16066933,28.52788925,31.72397995
5/3/2018,10:05:50 AM,486,72.973,27.16066933,28.50361633,31.77120972
5/3/2018,10:05:50 AM,756,73.243,27.09925079,28.49147797,31.68854523
5/3/2018,10:05:51 AM,27,73.514,27.11153793,28.50361633,31.71216965
5/3/2018,10:05:51 AM,297,73.784,27.12382317,28.50361633,31.7830143
