Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,1:44:05 PM,756,28.108,41.29457092,37.25239563,37.01517868,32.23072052,40.08657455,30.77542305,37.59049606,35.74229431
4/24/2018,1:44:06 PM,297,28.649,41.30550003,37.3539238,37.03779221,32.27774811,40.16378784,30.83493042,37.63550568,35.87930679
4/24/2018,1:44:06 PM,567,28.919,41.27270889,37.28624725,37.10560226,32.24247742,40.09760666,30.84682846,37.65800476,35.85647964
4/24/2018,1:44:06 PM,837,29.189,41.29457092,37.30881119,37.083004,32.24247742,40.15275955,30.84682846,37.56798553,35.90212631
4/24/2018,1:44:07 PM,107,29.459,41.33828354,37.37647247,37.09430313,32.25423813,40.14173126,30.87062073,37.6692543,35.85647964
4/24/2018,1:44:07 PM,378,29.73,41.40382385,37.33136749,37.20724869,32.30125809,40.21891022,30.87062073,37.73672104,35.94775391
4/24/2018,1:44:07 PM,648,30,41.36013412,37.39901733,37.12819672,32.289505,40.24095535,30.88251495,37.81538773,35.86789322
4/24/2018,1:44:07 PM,918,30.27,41.36013412,37.29753113,37.12819672,32.26599503,40.21891022,30.84682846,37.70299149,35.94775391
4/24/2018,1:44:08 PM,459,30.811,41.45841599,37.42156219,37.22982407,32.3365097,40.31807327,30.89440918,37.80414963,36.00476456
4/24/2018,1:44:08 PM,729,31.081,41.4802475,37.44409943,37.15078735,32.37175369,40.28503036,30.91819191,37.7142334,35.99336624
4/24/2018,1:44:08 PM,999,31.351,41.5020752,37.37647247,37.27496719,32.34825897,40.30706024,30.89440918,37.75920105,35.98196411
4/24/2018,1:44:09 PM,270,31.622,41.43658447,37.30881119,37.15078735,32.31300735,40.34009933,30.83493042,37.72547913,35.91353607
4/24/2018,1:44:09 PM,540,31.892,41.41474533,37.3877449,37.13949203,32.32476044,40.31807327,30.87062073,37.72547913,35.89071655
4/24/2018,1:44:09 PM,810,32.162,41.49116135,37.43283081,37.22982407,32.36000443,40.2960434,30.87062073,37.72547913,35.95915604
4/24/2018,1:44:10 PM,351,32.703,41.55662537,37.43283081,37.21853638,32.44220734,40.3290863,30.9776268,37.79291534,35.97056198
4/24/2018,1:44:10 PM,621,32.973,41.55662537,37.46663284,37.22982407,32.40698624,40.34009933,30.94196892,37.72547913,35.98196411
4/24/2018,1:44:10 PM,891,33.243,41.5675354,37.50042343,37.29753113,32.40698624,40.38414001,30.96574211,37.75920105,36.0617485
4/24/2018,1:44:11 PM,162,33.514,41.51298904,37.44409943,37.26368332,32.34825897,40.34009933,30.94196892,37.72547913,36.02756119
4/24/2018,1:44:11 PM,432,33.784,41.41474533,37.37647247,37.13949203,32.30125809,40.30706024,30.9063015,37.69174576,35.97056198
4/24/2018,1:44:11 PM,702,34.054,41.45841599,37.36520004,37.18466568,32.30125809,40.28503036,30.9063015,37.74796295,36.0617485
4/24/2018,1:44:12 PM,243,34.595,41.43658447,37.3877449,37.13949203,32.25423813,40.2519722,30.83493042,37.60174942,36.00476456
4/24/2018,1:44:12 PM,513,34.865,41.45841599,37.43283081,37.22982407,32.27774811,40.2960434,30.87062073,37.69174576,36.2211647
4/24/2018,1:44:12 PM,783,35.135,41.45841599,37.37647247,37.20724869,32.27774811,40.2960434,30.82303238,37.64675522,36.0617485
4/24/2018,1:44:13 PM,53,35.405,41.53480911,37.43283081,37.18466568,32.289505,40.31807327,30.85872459,37.65800476,36.01616287
4/24/2018,1:44:13 PM,324,35.676,41.53480911,37.3539238,37.1169014,32.27774811,40.26299286,30.85872459,37.7142334,36.02756119
4/24/2018,1:44:13 PM,594,35.946,41.52389908,37.36520004,37.1169014,32.27774811,40.31807327,30.87062073,37.63550568,36.0389595
4/24/2018,1:44:13 PM,864,36.216,41.53480911,37.34264755,37.19595718,32.32476044,40.39514923,30.91819191,37.7142334,36.0617485
4/24/2018,1:44:14 PM,134,36.486,41.53480911,37.30881119,37.17337418,32.32476044,40.31807327,30.88251495,37.70299149,36.0617485
4/24/2018,1:44:14 PM,675,37.027,41.46933365,37.29753113,37.083004,32.24247742,40.2740097,30.87062073,37.7142334,36.07314301
4/24/2018,1:44:14 PM,945,37.297,41.49116135,37.34264755,37.15078735,32.32476044,40.3290863,30.89440918,37.74796295,36.050354
4/24/2018,1:44:15 PM,216,37.568,41.5020752,37.42156219,37.18466568,32.3365097,40.34009933,30.9063015,37.77043915,36.10731888
4/24/2018,1:44:15 PM,486,37.838,41.45841599,37.42156219,37.18466568,32.34825897,40.35111237,30.85872459,37.73672104,36.10731888
4/24/2018,1:44:15 PM,756,38.108,41.4802475,37.37647247,37.21853638,32.3365097,40.36212158,30.88251495,37.72547913,36.10731888
4/24/2018,1:44:16 PM,26,38.378,41.51298904,37.39901733,37.27496719,32.34825897,40.42816544,30.87062073,37.81538773,36.13009644
4/24/2018,1:44:16 PM,297,38.649,41.5020752,37.3539238,37.19595718,32.31300735,40.36212158,30.87062073,37.73672104,36.09592819
4/24/2018,1:44:16 PM,567,38.919,41.53480911,37.42156219,37.33136749,32.34825897,40.48317719,30.93008041,37.77043915,36.14148331
4/24/2018,1:44:17 PM,107,39.459,41.55662537,37.42156219,37.27496719,32.40698624,40.40615463,30.93008041,37.75920105,36.43718719
4/24/2018,1:44:17 PM,378,39.73,41.55662537,37.48916245,37.25239563,32.40698624,40.45017242,30.93008041,37.72547913,36.58477783
4/24/2018,1:44:17 PM,648,40,41.57844162,37.43283081,37.3539238,32.41872787,40.43917084,30.89440918,37.75920105,36.69818497
4/24/2018,1:44:17 PM,918,40.27,41.54571915,37.52294922,37.37647247,32.36000443,40.46117401,30.93008041,37.75920105,36.72085571
4/24/2018,1:44:18 PM,189,40.541,41.5675354,37.50042343,37.41028976,32.41872787,40.49417496,30.91819191,37.79291534,36.68684769
4/24/2018,1:44:18 PM,459,40.811,41.60025024,37.48916245,37.36520004,32.4304657,40.41716003,30.9063015,37.81538773,36.70952225
4/24/2018,1:44:18 PM,729,41.081,41.63295746,37.46663284,37.3539238,32.40698624,40.46117401,30.9063015,37.80414963,36.73218918
4/24/2018,1:44:19 PM,270,41.622,41.52389908,37.46663284,37.30881119,32.34825897,40.38414001,30.87062073,37.79291534,36.58477783
4/24/2018,1:44:19 PM,540,41.892,41.5675354,37.44409943,37.34264755,32.3365097,40.48317719,30.9063015,37.6692543,36.56208038
4/24/2018,1:44:19 PM,810,42.162,41.60025024,37.50042343,37.36520004,32.38349915,40.49417496,30.93008041,37.75920105,36.58477783
4/24/2018,1:44:20 PM,80,42.432,41.67655945,37.52294922,37.41028976,32.45394516,40.59312439,30.98951149,37.86031723,36.57342911
4/24/2018,1:44:20 PM,351,42.703,41.5675354,37.50042343,37.36520004,32.39524078,40.49417496,30.93008041,37.81538773,36.49397278
4/24/2018,1:44:20 PM,891,43.243,41.63295746,36.63015366,38.65514755,32.47741699,40.59312439,30.98951149,37.98378754,36.2894249
