Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939
Location X,,,,293,296,295,20,22,19,78
Location Y,,,,60,111,169,56,114,167,117
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/24/2018,5:10:04 PM,945,42.432,31.25352287,31.24167442,31.08752441,30.09856415,30.71912193,29.31822586,31.05192184
4/24/2018,5:10:05 PM,215,42.702,31.11125183,31.13497543,30.99256325,29.94291115,30.63577652,29.20976639,30.98068619
4/24/2018,5:10:05 PM,756,43.243,31.27721786,31.20611954,31.05192184,30.03872299,30.65959549,29.28208351,31.00443649
4/24/2018,5:10:06 PM,26,43.513,31.2179718,31.20611954,31.05192184,29.97884941,30.62386513,29.27003479,30.96881104
4/24/2018,5:10:06 PM,296,43.783,31.19426537,31.19426537,31.06379128,29.93092918,30.60003853,29.27003479,30.95693207
4/24/2018,5:10:06 PM,567,44.054,31.2179718,31.15869522,31.06379128,30.0028019,30.62386513,29.27003479,31.01630974
4/24/2018,5:10:06 PM,837,44.324,31.17055321,31.12311554,31.08752441,29.90696335,30.56428909,29.22182274,30.9450531
4/24/2018,5:10:07 PM,107,44.594,31.19426537,31.19426537,31.02818108,29.99082756,30.647686,29.25798416,30.98068619
4/24/2018,5:10:07 PM,378,44.865,31.18240929,31.15869522,31.06379128,29.97884941,30.63577652,29.24593163,30.9450531
4/24/2018,5:10:07 PM,648,45.135,31.13497543,31.12311554,30.95693207,29.90696335,30.58812332,29.22182274,30.95693207
4/24/2018,5:10:08 PM,188,45.675,31.2179718,31.17055321,31.02818108,30.01477623,30.62386513,29.25798416,30.92129135
4/24/2018,5:10:08 PM,459,45.946,31.14683533,31.12311554,30.96881104,29.95489311,30.62386513,29.28208351,30.90940857
4/24/2018,5:10:08 PM,729,46.216,31.11125183,31.12311554,30.98068619,29.97884941,30.647686,29.24593163,30.95693207
4/24/2018,5:10:08 PM,999,46.486,31.17055321,31.09938812,30.9450531,29.95489311,30.57620621,29.20976639,30.93317223
