Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939
Location X,,,,293,296,295,20,22,19,78
Location Y,,,,60,111,169,56,114,167,117
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/24/2018,4:49:56 PM,567,57.838,35.44498825,34.81394196,34.5490799,32.37386703,33.02939606,32.50291443,33.69297791
4/24/2018,4:49:56 PM,837,58.108,35.43354416,34.77942657,34.50296021,32.39734268,33.04106903,32.51464081,33.72780228
4/24/2018,4:49:57 PM,107,58.378,35.42210007,34.75641251,34.5490799,32.4208107,33.09941864,32.51464081,33.7394104
4/24/2018,4:49:57 PM,378,58.649,35.38775635,34.74490356,34.50296021,32.37386703,33.02939606,32.56152725,33.64653015
4/24/2018,4:49:57 PM,648,58.919,35.38775635,34.76792145,34.51449203,32.37386703,33.04106903,32.46773529,33.6581459
4/24/2018,4:49:57 PM,918,59.189,35.37630463,34.71036911,34.45681763,32.31516266,32.99436951,32.47946167,33.62329865
4/24/2018,4:49:58 PM,188,59.459,35.33049393,34.6412735,34.49142456,32.22117615,32.95933151,32.47946167,33.60006332
4/24/2018,4:49:58 PM,729,60,35.31904221,34.65279007,34.45681763,32.29167557,32.95933151,32.40907669,33.61168289
4/24/2018,4:49:58 PM,999,60.27,35.39920425,34.76792145,34.51449203,32.33864975,33.052742,32.53808594,33.6581459
4/24/2018,4:49:59 PM,269,60.54,35.33049393,34.67582703,34.46835709,32.26818085,32.92428207,32.4442749,33.64653015
4/24/2018,4:49:59 PM,540,60.811,35.353405,34.72188187,34.53755188,32.31516266,32.95933151,32.4560051,33.6581459
