Plot 1 FLIR USB Video,,,,,
,,,,,
,,,,Sp1.Value,Sp2.Value
Emissivity,,,,0.9499999881,0.9499999881
Distance,,,,1,1
Reflected temperature,,,,23.9999939,23.9999939
Location X,,,,19,104
Location Y,,,,74,120
Size X,,,,,
Size Y,,,,,
Surface (pixels),,,,,
,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value
4/24/2018,3:25:17 PM,648,153.514,29.66701889,33.12274933
4/24/2018,3:25:17 PM,918,153.784,29.69103622,33.15773773
4/24/2018,3:25:18 PM,188,154.054,29.67902756,33.15773773
4/24/2018,3:25:18 PM,459,154.325,29.69103622,33.19271851
4/24/2018,3:25:18 PM,999,154.865,29.78705215,33.25099564
4/24/2018,3:25:19 PM,270,155.136,29.79904938,33.27429962
4/24/2018,3:25:19 PM,540,155.406,29.75105476,33.33253479
4/24/2018,3:25:19 PM,810,155.676,29.77505493,33.41402054
4/24/2018,3:25:20 PM,80,155.946,29.8590126,33.4023819
4/24/2018,3:25:20 PM,351,156.217,29.8230381,33.41402054
4/24/2018,3:25:20 PM,621,156.487,29.90696335,33.47219086
4/24/2018,3:25:21 PM,161,157.027,29.8590126,33.51870346
4/24/2018,3:25:21 PM,432,157.298,29.8710022,33.48381805
4/24/2018,3:25:21 PM,702,157.568,29.8710022,33.51870346
4/24/2018,3:25:21 PM,972,157.838,29.96687126,33.55358124
4/24/2018,3:25:21 PM,972,157.838,29.96687126,33.55358124
4/24/2018,3:25:22 PM,243,158.109,29.99082756,33.58844376
4/24/2018,3:25:22 PM,513,158.379,30.03872299,33.64653015
4/24/2018,3:25:23 PM,53,158.919,29.93092918,33.57682419
4/24/2018,3:25:23 PM,324,159.19,29.90696335,33.6349144
4/24/2018,3:25:23 PM,594,159.46,29.90696335,33.6349144
4/24/2018,3:25:23 PM,864,159.73,30.03872299,33.68136978
4/24/2018,3:25:24 PM,134,160,30.06266212,33.75101471
4/24/2018,3:25:24 PM,405,160.271,30.08659744,33.84381485
4/24/2018,3:25:24 PM,675,160.541,30.12249184,33.78582382
4/24/2018,3:25:25 PM,215,161.081,30.17033386,33.87859344
4/24/2018,3:25:25 PM,486,161.352,30.13445473,33.93654251
4/24/2018,3:25:25 PM,756,161.622,30.21815681,33.94812775
4/24/2018,3:25:26 PM,26,161.892,30.1942482,33.92495346
4/24/2018,3:25:26 PM,297,162.163,30.26595879,34.05235291
4/24/2018,3:25:26 PM,567,162.433,30.26595879,33.99446106
4/24/2018,3:25:27 PM,107,162.973,30.3853817,34.08707428
