Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,2:54:19 PM,14:54:19,41.08672714,42.31792831,41.5675354,35.97056198
4/18/2018,2:54:20 PM,14:54:20,41.15240097,42.31792831,41.58934784,35.94775391
4/18/2018,2:54:20 PM,14:54:20,41.17428207,42.36129761,41.65475845,36.01616287
4/18/2018,2:54:20 PM,14:54:20,41.17428207,42.35045624,41.64385986,35.99336624
4/18/2018,2:54:21 PM,14:54:21,41.21803665,42.36129761,41.69835281,35.98196411
4/18/2018,2:54:21 PM,14:54:21,41.17428207,42.36129761,41.65475845,35.99336624
4/18/2018,2:54:21 PM,14:54:21,41.25084305,42.31792831,41.72014236,36.01616287
4/18/2018,2:54:22 PM,14:54:22,41.19615936,42.31792831,41.63295746,36.00476456
4/18/2018,2:54:22 PM,14:54:22,41.25084305,42.36129761,41.60025024,35.99336624
4/18/2018,2:54:22 PM,14:54:22,41.21803665,42.29623795,41.54571915,35.98196411
4/18/2018,2:54:22 PM,14:54:22,41.21803665,42.29623795,41.5675354,36.01616287
4/18/2018,2:54:23 PM,14:54:23,41.16334152,42.27454758,41.53480911,35.98196411
4/18/2018,2:54:23 PM,14:54:23,41.17428207,42.27454758,41.5675354,36.01616287
4/18/2018,2:54:24 PM,14:54:24,41.15240097,42.28539276,41.60025024,35.97056198
4/18/2018,2:54:24 PM,14:54:24,41.21803665,42.28539276,41.64385986,36.01616287
4/18/2018,2:54:24 PM,14:54:24,41.16334152,42.23115158,41.63295746,36.01616287
4/18/2018,2:54:24 PM,14:54:24,41.18522263,42.26369858,41.65475845,36.01616287
4/18/2018,2:54:25 PM,14:54:25,41.18522263,42.27454758,41.66566086,36.0389595
4/18/2018,2:54:25 PM,14:54:25,41.16334152,42.27454758,41.66566086,36.00476456
