Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,5:06:53 PM,17:06:53,38.20797348,34.79042816,34.89400101,33.84268188
4/18/2018,5:06:53 PM,17:06:53,38.20797348,34.80194092,34.90550613,33.83107758
4/18/2018,5:06:54 PM,17:06:54,38.20797348,34.74436951,34.90550613,33.85428238
4/18/2018,5:06:54 PM,17:06:54,38.19677353,34.80194092,34.90550613,33.85428238
4/18/2018,5:06:54 PM,17:06:54,38.18557358,34.81345367,34.90550613,33.84268188
4/18/2018,5:06:55 PM,17:06:55,38.15196609,34.76739883,34.8479805,33.78465271
4/18/2018,5:06:55 PM,17:06:55,38.11834717,34.73284912,34.79042816,33.79626083
4/18/2018,5:06:55 PM,17:06:55,38.09593201,34.73284912,34.79042816,33.76143265
4/18/2018,5:06:56 PM,17:06:56,38.03987122,34.59455109,34.74436951,33.70336151
4/18/2018,5:06:56 PM,17:06:56,38.0174408,34.58301926,34.70981216,33.73820877
4/18/2018,5:06:56 PM,17:06:56,38.08472061,34.61761093,34.70981216,33.71497726
4/18/2018,5:06:57 PM,17:06:57,38.05108643,34.61761093,34.70981216,33.71497726
4/18/2018,5:06:57 PM,17:06:57,38.06229782,34.65219498,34.74436951,33.79626083
4/18/2018,5:06:57 PM,17:06:57,38.00622559,34.68676758,34.72133255,33.76143265
4/18/2018,5:06:57 PM,17:06:57,37.96134949,34.66371918,34.73284912,33.74982071
4/18/2018,5:06:58 PM,17:06:58,37.96134949,34.66371918,34.79042816,33.78465271
4/18/2018,5:06:58 PM,17:06:58,37.98378754,34.6060791,34.76739883,33.78465271
4/18/2018,5:06:58 PM,17:06:58,38.0174408,34.67524338,34.79042816,33.79626083
4/18/2018,5:06:59 PM,17:06:59,38.05108643,34.70981216,34.80194092,33.84268188
4/18/2018,5:06:59 PM,17:06:59,37.99500656,34.68676758,34.81345367,33.81947327
4/18/2018,5:06:59 PM,17:06:59,37.96134949,34.65219498,34.75588608,33.78465271
4/18/2018,5:06:59 PM,17:06:59,37.99500656,34.67524338,34.73284912,33.79626083
4/18/2018,5:07:00 PM,17:07:00,37.90522766,34.58301926,34.70981216,33.79626083
4/18/2018,5:07:00 PM,17:07:00,37.92768097,34.59455109,34.72133255,33.76143265
4/18/2018,5:07:01 PM,17:07:01,37.93890381,34.54841614,34.67524338,33.74982071
4/18/2018,5:07:01 PM,17:07:01,37.82661819,34.50226212,34.58301926,33.71497726
4/18/2018,5:07:01 PM,17:07:01,37.84908295,34.55995178,34.65219498,33.74982071
4/18/2018,5:07:02 PM,17:07:02,37.81538773,34.49072266,34.62913895,33.68012619
4/18/2018,5:07:02 PM,17:07:02,37.79291534,34.52534103,34.64066696,33.70336151
4/18/2018,5:07:02 PM,17:07:02,37.83785248,34.53688049,34.65219498,33.73820877
4/18/2018,5:07:02 PM,17:07:02,37.84908295,34.54841614,34.72133255,33.77304077
4/18/2018,5:07:03 PM,17:07:03,37.88277435,34.53688049,34.68676758,33.73820877
4/18/2018,5:07:03 PM,17:07:03,37.87154388,34.59455109,34.73284912,33.79626083
4/18/2018,5:07:03 PM,17:07:03,37.91645432,34.57148361,34.64066696,33.79626083
4/18/2018,5:07:04 PM,17:07:04,37.91645432,34.58301926,34.67524338,33.78465271
4/18/2018,5:07:04 PM,17:07:04,37.89400101,34.67524338,34.68676758,33.80786514
4/18/2018,5:07:04 PM,17:07:04,37.84908295,34.51380157,34.68676758,33.77304077
4/18/2018,5:07:05 PM,17:07:05,37.82661819,34.53688049,34.68676758,33.74982071
